Transaction ID,Customer ID,Merchant ID,Transaction Amount,Time of Transaction,Day of Transaction_cd,Day of Transaction,Product Category_cd,Product Category,Average Monthly Spending,Average Transaction Amount,Average Distance from Home,Number of Transactions in the last 24 hours,Average Time between Transactions in the last 24 hours,Number of Transactions in the last 7 days,Average Time between Transactions in the last 7 days,Distance Traveled in the last 24 hours,Number of Different Merchants Used in the last 24 hours,Number of Different Merchants Used in the last 7 days,Payment Method_cd,Payment Method,Bank Issuer_cd,Bank Issuer,Credit Score,Credit Limit,Account Age,Merchant Location_cd,Merchant Location,Customer Location_cd,Customer Location,Merchant Type_cd,Merchant Type,Customer Type_cd,Customer Type,Fraudulent Transaction,Fraudulent Transaction_cd
371288,740063,82617,29741,02:32:06,6,Saturday,15,Home Decor,300,60,3,3,22,15,9,5,0,4,6,Debit Card,6,Bank of America,600,3000,1,12,Chicago,18,Chicago,12,Online,2,Occasional,NO,0
817203,126333,74362,52012,09:23:24,3,Wednesday,7,Electronics,600,150,4,4,4,20,7,30,0,20,5,Credit Card,16,JP Morgan,750,10000,4,22,Miami,34,Miami,13,Pharmacy,2,Occasional,NO,0
911975,476391,69427,65324,15:37:43,6,Saturday,19,Pharmacy,1000,250,6,5,17,8,18,40,1,6,6,Debit Card,16,JP Morgan,700,6000,2,27,San Francisco,45,San Francisco,12,Online,2,Occasional,NO,0
668886,283068,16828,45949,23:46:31,7,Sunday,7,Electronics,500,80,10,2,9,12,4,10,0,9,5,Credit Card,16,JP Morgan,550,4000,3,13,Dallas,20,Dallas,5,Department Store,2,Occasional,NO,0
113916,872659,41459,69475,10:14:06,5,Friday,14,Home Appliances,200,40,2,1,9,3,38,5,1,3,6,Debit Card,16,JP Morgan,650,2000,2,24,New York,37,New York,12,Online,2,Occasional,NO,0
606174,68696,77060,15831,01:05:53,3,Wednesday,13,Home and Garden,600,120,5,3,17,15,7,15,3,3,5,Credit Card,16,JP Morgan,700,8000,2,21,Los Angeles,30,Los Angeles,5,Department Store,2,Occasional,NO,0
842097,264847,42122,28392,20:02:27,7,Sunday,1, Clothing,1000,500,5,2,1,5,23,10,0,3,6,Debit Card,5,Axis Bank,750,50000,1,14,Delhi,35,Mumbai,19,Supermarket,3,Regular,NO,0
179739,254174,68411,17536,18:48:19,2,Tuesday,4,Beauty & Personal Care,5000,2000,10,1,11,7,24,20,0,4,5,Credit Card,13,HDFC Bank,800,75000,2,23,Mumbai,21,Delhi,12,Online,3,Regular,NO,0
337159,978710,45891,83846,20:29:43,6,Saturday,16,Home Improvement,500,100,2,3,9,8,3,5,3,3,9,Net Banking,15,ICICI Bank,650,30000,3,7,Bangalore,17,Chennai,15,Retail Store,1, One-time Shopper,NO,0
329215,95560,91713,63620,03:23:50,1,Monday,10,Furniture,10000,5000,20,4,20,10,14,50,0,6,6,Debit Card,18,SBI,900,100000,4,11,Chennai,13,Bangalore,12,Online,1, One-time Shopper,NO,0
172279,226410,88155,28833,10:57:47,6,Saturday,20,Sports,3000,1500,15,2,23,12,10,30,2,9,9,Net Banking,5,Axis Bank,800,60000,5,14,Delhi,35,Mumbai,19,Supermarket,1, One-time Shopper,NO,0
847756,268213,64719,28701,05:58:59,3,Wednesday,11,Grocery,2000,800,8,5,8,5,1,10,2,1,6,Debit Card,13,HDFC Bank,700,40000,6,23,Mumbai,21,Delhi,12,Online,3,Regular,NO,0
483412,277368,92734,90883,13:06:52,3,Wednesday,1, Clothing,600,300,3,1,10,9,8,7,1,1,5,Credit Card,15,ICICI Bank,750,50000,1,7,Bangalore,17,Chennai,19,Supermarket,3,Regular,NO,0
836160,83413,95030,68106,01:57:07,2,Tuesday,2, Electronics,4000,2000,10,2,12,8,9,25,1,8,9,Net Banking,18,SBI,800,75000,2,11,Chennai,13,Bangalore,15,Retail Store,3,Regular,NO,0
914186,897625,65243,94997,10:06:07,2,Tuesday,18,Pet Supplies,500,75,5,2,16,10,12,12,1,1,5,Credit Card,8,Chase,800,10000,2,21,Los Angeles,37,New York,12,Online,2,Occasional,NO,0
404954,741906,76532,48337,09:15:05,3,Wednesday,6,Books and Stationery,200,25,2,1,22,3,22,3,0,1,5,Credit Card,9,Citi,700,5000,1,24,New York,37,New York,16,Retailer,2,Occasional,NO,0
665270,909607,48914,67467,14:29:19,7,Sunday,18,Pet Supplies,800,100,10,3,4,15,8,20,1,6,5,Credit Card,16,JP Morgan,850,15000,5,27,San Francisco,30,Los Angeles,12,Online,3,Regular,NO,0
644896,782560,47146,75367,11:52:23,4,Thursday,18,Pet Supplies,250,37.5,3,2,3,8,13,5,2,5,5,Credit Card,20,Wells Fargo,650,3000,3,24,New York,34,Miami,16,Retailer,2,Occasional,NO,0
997292,703338,98732,40947,16:24:29,1,Monday,12,Home & Kitchen,750,150,12,4,12,20,6,24,0,1,5,Credit Card,8,Chase,750,8000,4,21,Los Angeles,37,New York,12,Online,3,Regular,NO,0
856927,859896,41527,70626,10:32:52,5,Friday,8,Fashion,80,10,1,1,19,2,5,2,0,2,5,Credit Card,9,Citi,600,2000,1,24,New York,37,New York,16,Retailer,2,Occasional,NO,0
692084,810968,25301,43708,22:22:48,3,Wednesday,2, Electronics,1000,125,15,5,14,25,3,30,4,21,5,Credit Card,16,JP Morgan,900,20000,7,27,San Francisco,30,Los Angeles,12,Online,3,Regular,NO,0
939207,532133,71343,86513,06:35:18,2,Tuesday,9,Food and Beverage,234.56,25.67,1.5,2,7,5,17,10.5,0,1,5,Credit Card,14,HSBC,745,10000,1,24,New York,37,New York,12,Online,2,Occasional,NO,0
344270,12066,92896,77460,08:28:39,5,Friday,3, Health & Beauty,100,32.5,1.2,1,13,3,2,1.5,0,3,5,Credit Card,9,Citi,800,15000,2,10,California,16,California,16,Retailer,2,Occasional,NO,0
986787,918033,63915,57731,22:20:13,3,Wednesday,12,Home & Kitchen,325.5,65.5,2.1,4,13,8,13,15.3,0,7,5,Credit Card,8,Chase,680,8000,3,34,Washington,#N/A,#N/A,12,Online,2,Occasional,NO,0
290032,741645,86294,82697,07:34:25,1,Monday,19,Pharmacy,465.75,90,3.2,1,15,1,164,0,1,1,5,Credit Card,20,Wells Fargo,725,12000,2,24,New York,37,New York,16,Retailer,2,Occasional,NO,0
745579,647138,34004,44877,16:57:39,3,Wednesday,2, Electronics,167.89,22.67,1.9,3,10,10,14,8.7,1,10,5,Credit Card,14,HSBC,670,9000,6,10,California,16,California,12,Online,1, One-time Shopper,YES,1
555691,747722,18164,94605,10:54:14,2,Tuesday,5,Books,440.8,78.95,2.8,2,3,4,21,12.5,1,3,5,Credit Card,8,Chase,750,15000,4,32,Texas,50,Texas,16,Retailer,2,Occasional,NO,0
938624,788338,35982,45970,23:18:41,4,Thursday,8,Fashion,75,15,1,1,12,1,87,0,1,1,5,Credit Card,12,Discover,690,11000,2,24,New York,37,New York,12,Online,2,Occasional,NO,0
476787,505700,65134,75022,10:41:38,7,Sunday,20,Sports,225,75,2.5,1,23,2,72,1.2,0,1,5,Credit Card,20,Wells Fargo,710,10000,1,16,Florida,23,Florida,16,Retailer,2,Occasional,NO,0
500079,905297,9321,49104,04:03:45,1,Monday,6,Books and Stationery,78.5,25.2,2.4,4,16,15,3,6.7,1,14,5,Credit Card,8,Chase,720,2500,2,24,New York,37,New York,12,Online,3,Regular,NO,0
950977,360946,75958,89094,23:26:47,3,Wednesday,7,Electronics,96.2,23.8,1.8,2,12,10,3,4.5,0,2,5,Credit Card,19,TD Bank,680,3000,3,21,Los Angeles,30,Los Angeles,16,Retailer,3,Regular,NO,0
624922,995599,10002,91608,05:36:13,3,Wednesday,11,Grocery,350,150,3.2,1,6,1,57,0,1,1,5,Credit Card,6,Bank of America,750,8000,12,13,Dallas,20,Dallas,16,Retailer,3,Regular,NO,0
188439,615222,83097,69326,10:05:54,3,Wednesday,5,Books,40,15,2.8,3,21,12,1,3.1,2,5,5,Credit Card,10,Citibank,630,2000,5,24,New York,37,New York,12,Online,3,Regular,NO,0
632592,120495,20493,46418,13:32:22,1,Monday,20,Sports,150,56.25,1.9,2,17,8,16,3.2,0,3,5,Credit Card,20,Wells Fargo,710,4000,7,27,San Francisco,45,San Francisco,16,Retailer,1, One-time Shopper,NO,0
642430,880054,32683,30569,03:01:45,7,Sunday,13,Home and Garden,112.5,27.5,2.5,5,6,18,7,5.5,0,5,5,Credit Card,8,Chase,650,3500,4,24,New York,37,New York,12,Online,3,Regular,NO,0
776775,510858,89565,92722,03:00:20,5,Friday,5,Books,120,30,1.2,2,18,11,13,1.2,0,5,5,Credit Card,6,Bank of America,690,5000,9,21,Los Angeles,30,Los Angeles,16,Retailer,3,Regular,YES,1
964586,284792,39672,60030,20:11:17,4,Thursday,19,Pharmacy,500,75.25,3.2,2,14,12,9,10.5,0,6,5,Credit Card,8,Chase,760,10000,2.5,24,New York,16,California,12,Online,2,Occasional,NO,0
609039,687757,38299,82015,13:12:57,6,Saturday,4,Beauty & Personal Care,1000,167.25,5.6,1,22,5,9,5.6,1,5,5,Credit Card,14,HSBC,650,7500,3.2,16,Florida,23,Florida,16,Retailer,2,Occasional,YES,1
589952,952814,75630,98534,23:00:07,2,Tuesday,17,Office Supplies,300,15.75,1.2,3,15,17,9,9.2,1,4,5,Credit Card,12,Discover,710,5000,1.8,32,Texas,50,Texas,12,Online,3,Regular,NO,0
958067,734025,81307,64666,23:52:50,4,Thursday,20,Sports,1000,250,7.8,1,18,1,106,7.8,1,1,5,Credit Card,8,Chase,800,20000,1.5,20,London,28,London,16,Retailer,2,Occasional,YES,1
893418,297104,58447,39034,09:21:43,3,Wednesday,13,Home and Garden,400,50,3.1,2,15,13,8,8.5,0,1,5,Credit Card,14,HSBC,720,10000,2,23,Mumbai,35,Mumbai,16,Retailer,3,Regular,NO,0
856884,495559,22959,31431,08:06:25,3,Wednesday,13,Home and Garden,700,120.25,4.5,0,19,0,#DIV/0!,0,0,#NUM!,5,Credit Card,8,Chase,670,15000,2.8,21,Los Angeles,16,California,12,Online,2,Occasional,YES,1
631448,639295,32719,64822,16:18:18,6,Saturday,2, Electronics,300,75,1.7,1,21,8,16,6.8,0,8,5,Credit Card,12,Discover,690,5000,1.2,24,New York,37,New York,16,Retailer,3,Regular,NO,0
567977,123358,88224,37740,22:26:09,7,Sunday,18,Pet Supplies,800,150,5.2,2,10,15,5,12.4,1,10,5,Credit Card,14,HSBC,780,12000,2.2,12,Chicago,27,Illinois,16,Retailer,3,Regular,YES,1
309453,998596,11726,7920,08:18:22,3,Wednesday,18,Pet Supplies,200,50,2.3,0,7,0,#DIV/0!,0,0,#NUM!,5,Credit Card,8,Chase,700,8000,3,20,London,28,London,12,Online,2,Occasional,NO,0
868148,950263,83109,49912,01:14:17,2,Tuesday,17,Office Supplies,2000,100,2.5,3,10,7,11,12.5,2,2,5,Credit Card,14,HSBC,650,50000,2,24,New York,15,"Brooklyn, NY",12,Online,2,Occasional,NO,0
396520,742112,75189,40791,11:16:02,7,Sunday,4,Beauty & Personal Care,500,50,1.5,5,3,12,3,5,3,5,5,Credit Card,10,Citibank,720,100000,5,21,Los Angeles,29,"Long Beach, CA",16,Retailer,1, One-time Shopper,YES,1
428177,966634,3666,82607,07:43:00,6,Saturday,19,Pharmacy,1500,150,5,2,13,4,22,25,0,2,5,Credit Card,8,Chase,800,250000,8,27,San Francisco,39,"Oakland, CA",12,Online,2,Occasional,NO,0
287224,890688,3735,71718,10:30:21,7,Sunday,9,Food and Beverage,3500,200,4,4,21,10,10,8,4,9,5,Credit Card,14,HSBC,720,50000,1,24,New York,38,"Newark, NJ",16,Retailer,2,Occasional,YES,1
950815,438185,94097,60506,21:55:45,5,Friday,8,Fashion,500,100,2,1,22,1,44,0,1,1,5,Credit Card,8,Chase,600,150000,3,21,Los Angeles,9,"Anaheim, CA",12,Online,2,Occasional,NO,0
655701,45903,70745,4556,01:10:56,3,Wednesday,2, Electronics,5000,400,7.5,6,3,15,7,12.5,5,12,5,Credit Card,10,Citibank,800,200000,7,27,San Francisco,46,"San Jose, CA",16,Retailer,2,Occasional,NO,0
821382,592356,26136,81622,03:18:56,3,Wednesday,10,Furniture,2000,100,2.5,3,11,7,3,12.5,1,3,5,Credit Card,14,HSBC,650,50000,2,24,New York,15,"Brooklyn, NY",12,Online,2,Occasional,NO,0
749087,172763,81821,50319,15:16:12,3,Wednesday,17,Office Supplies,500,50,1.5,5,8,12,3,5,3,4,5,Credit Card,10,Citibank,720,100000,5,21,Los Angeles,29,"Long Beach, CA",16,Retailer,2,Occasional,YES,1
561622,72679,74894,56811,04:09:24,6,Saturday,15,Home Decor,1500,150,5,2,2,4,28,25,1,2,5,Credit Card,8,Chase,800,250000,8,27,San Francisco,39,"Oakland, CA",12,Online,2,Occasional,NO,0
111548,238895,75114,42140,20:39:02,3,Wednesday,10,Furniture,3500,200,4,4,1,10,9,8,4,3,5,Credit Card,14,HSBC,720,50000,1,24,New York,38,"Newark, NJ",16,Retailer,2,Occasional,YES,1
563171,122406,38711,29494,19:47:33,7,Sunday,8,Fashion,500,100,2,1,13,1,63,0,1,1,5,Credit Card,8,Chase,600,150000,3,21,Los Angeles,9,"Anaheim, CA",12,Online,2,Occasional,NO,0
256078,321249,9541,10539,08:44:13,7,Sunday,7,Electronics,5000,400,7.5,6,9,15,7,12.5,3,6,5,Credit Card,10,Citibank,800,200000,7,27,San Francisco,46,"San Jose, CA",16,Retailer,2,Occasional,NO,0
330453,145182,41835,19330,01:26:02,7,Sunday,6,Books and Stationery,1000,100,5,3,11,10,15,25,2,5,5,Credit Card,16,JP Morgan,650,50000,2,24,New York,37,New York,3,Clothing Store,3,Regular,NO,0
343576,305769,51183,23680,04:07:51,2,Tuesday,7,Electronics,2000,250,10,5,15,25,5,10,4,7,6,Debit Card,6,Bank of America,500,40000,4,27,San Francisco,30,Los Angeles,7,Electronics,3,Regular,NO,0
547894,625170,17554,68852,04:46:54,3,Wednesday,9,Food and Beverage,5000,500,20,1,11,35,4,5,1,35,10,Online Payment,6,Bank of America,550,60000,1,14,Delhi,21,Delhi,19,Supermarket,1, One-time Shopper,YES,1
174293,184283,26544,82456,05:08:23,6,Saturday,12,Home & Kitchen,3000,200,8,2,4,20,1,15,0,10,5,Credit Card,6,Bank of America,750,35000,3,12,Chicago,18,Chicago,8,Furniture Store,3,Regular,NO,0
129014,290710,96734,27872,08:43:31,3,Wednesday,3, Health & Beauty,4000,400,15,4,18,30,3,30,2,13,6,Debit Card,6,Bank of America,700,42000,5,20,London,31,Manchester,2,Bookstore,3,Regular,YES,1
615104,470575,57927,47184,23:50:09,1,Monday,11,Grocery,15000,1000,30,2,15,15,1,10,2,10,10,Online Payment,5,Axis Bank,730,65000,6,31,Singapore,49,Singapore,7,Electronics,3,Regular,NO,0
893987,378933,3114,33964,05:06:13,2,Tuesday,8,Fashion,1000,50,3,5,8,20,1,5,5,3,5,Credit Card,5,Axis Bank,600,30000,1,24,New York,37,New York,19,Supermarket,3,Regular,NO,0
610665,362135,73451,78014,02:45:28,2,Tuesday,12,Home & Kitchen,3500,175,12,1,18,45,1,10,0,18,6,Debit Card,5,Axis Bank,680,38000,2,27,San Francisco,30,Los Angeles,3,Clothing Store,3,Regular,YES,1
631114,498518,59737,16894,11:37:45,7,Sunday,8,Fashion,2000,100,5,2,23,10,7,50,2,5,5,Credit Card,6,Bank of America,750,5000,2,24,New York,16,California,12,Online,1, One-time Shopper,YES,1
535731,808506,23120,92722,22:04:12,1,Monday,7,Electronics,800,80,10,3,4,20,5,100,3,8,6,Debit Card,8,Chase,680,3500,5,32,Texas,50,Texas,16,Retailer,2,Occasional,NO,0
141981,203923,30849,90547,00:18:34,7,Sunday,15,Home Decor,1000,125,8,1,1,6,17,20,0,3,5,Credit Card,10,Citibank,800,10000,1,25,Paris,37,New York,12,Online,2,Occasional,YES,1
210281,520970,15461,97861,00:54:12,2,Tuesday,9,Food and Beverage,400,50,15,4,8,15,8,75,4,8,6,Debit Card,20,Wells Fargo,620,2000,6,21,Los Angeles,50,Texas,16,Retailer,2,Occasional,NO,0
123404,691790,75331,70684,11:55:07,3,Wednesday,5,Books,1200,200,6,1,5,8,17,10,1,1,5,Credit Card,14,HSBC,850,50000,3,33,Tokyo,16,California,12,Online,2,Occasional,YES,1
295358,314105,1894,85301,21:31:38,7,Sunday,15,Home Decor,600,120,4,2,21,10,13,40,2,10,6,Debit Card,10,Citibank,700,3000,8,9,Buenos Aires,33,Mexico,16,Retailer,1, One-time Shopper,NO,0
943181,702949,56882,77002,05:12:22,7,Sunday,19,Pharmacy,450,90,12,3,2,12,13,100,3,4,5,Credit Card,7,Barclays,650,4000,4,23,Mumbai,37,New York,12,Online,2,Occasional,NO,0
412820,229951,65911,30510,02:45:01,7,Sunday,7,Electronics,300,80,2.5,3,6,8,12,10,3,8,5,Credit Card,8,Chase,780,5000,3,24,New York,37,New York,5,Department Store,2,Occasional,NO,0
181080,249645,35595,19913,11:14:06,7,Sunday,19,Pharmacy,100,25,1,1,23,4,32,5,1,1,6,Debit Card,14,HSBC,650,2500,2,21,Los Angeles,30,Los Angeles,12,Online,2,Occasional,NO,0
965341,604580,17970,47581,06:58:26,5,Friday,8,Fashion,500,100,5,5,11,15,8,20,2,2,5,Credit Card,6,Bank of America,720,8000,5,13,Dallas,20,Dallas,8,Furniture Store,2,Occasional,NO,0
535630,956767,4631,63263,15:35:55,5,Friday,12,Home & Kitchen,150,50,1.2,2,11,6,25,4,0,3,5,Credit Card,12,Discover,700,3500,1,22,Miami,34,Miami,13,Pharmacy,2,Occasional,NO,0
288427,23592,57557,44481,14:56:57,2,Tuesday,4,Beauty & Personal Care,500,200,3.5,4,19,12,11,15,3,11,6,Debit Card,10,Citibank,800,12000,7,27,San Francisco,45,San Francisco,12,Online,1, One-time Shopper,NO,0
928786,475915,61582,71469,06:34:07,4,Thursday,5,Books,50,10,0.5,1,22,3,44,2,1,1,4,Cash,5,Axis Bank,600,36000,1,12,Chicago,18,Chicago,19,Supermarket,2,Occasional,NO,0
747757,132580,50181,50959,13:52:30,5,Friday,1, Clothing,250,100,4,4,8,10,5,12,0,10,5,Credit Card,16,JP Morgan,750,8000,2,24,New York,37,New York,5,Department Store,2,Occasional,NO,0
150748,870345,99862,30207,06:35:45,7,Sunday,17,Office Supplies,500,50,5,2,1,5,1,10,2,2,5,Credit Card,8,Chase,800,10000,2,21,Los Angeles,30,Los Angeles,12,Online,2,Occasional,NO,0
910291,707601,8892,24926,07:41:09,7,Sunday,7,Electronics,250,25,10,1,5,1,43,0,0,1,5,Credit Card,14,HSBC,650,5000,1,24,New York,37,New York,19,Supermarket,2,Occasional,NO,0
888659,108654,30933,87930,18:49:55,1,Monday,18,Pet Supplies,2000,250,25,3,19,10,15,50,1,5,5,Credit Card,20,Wells Fargo,700,15000,5,27,San Francisco,45,San Francisco,5,Department Store,2,Occasional,YES,1
895848,72014,49972,50750,23:51:38,1,Monday,9,Food and Beverage,1000,200,15,2,18,8,11,20,1,3,5,Credit Card,10,Citibank,750,8000,3,34,Washington,#N/A,#N/A,12,Online,2,Occasional,NO,0
848767,27800,4083,13247,10:38:07,4,Thursday,5,Books,400,40,2,1,4,1,98,0,0,1,5,Credit Card,16,JP Morgan,720,10000,2,12,Chicago,18,Chicago,5,Department Store,2,Occasional,NO,0
295432,53401,72511,39289,21:30:30,2,Tuesday,13,Home and Garden,700,100,10,2,4,4,1,30,1,3,5,Credit Card,6,Bank of America,600,5000,1,24,New York,37,New York,10,Home Store,2,Occasional,YES,1
118326,747424,38017,34365,02:43:16,5,Friday,6,Books and Stationery,300,75,5,1,13,1,153,0,0,1,5,Credit Card,10,Citibank,780,12000,4,27,San Francisco,45,San Francisco,12,Online,2,Occasional,NO,0
911892,611433,16531,21514,00:29:17,1,Monday,3, Health & Beauty,75,12.5,5,1,22,1,106,0,0,1,5,Credit Card,16,JP Morgan,700,5000,2,12,Chicago,18,Chicago,12,Online,2,Occasional,NO,0
166980,875242,79680,308,23:35:21,3,Wednesday,13,Home and Garden,245.89,34.21,12.5,3,5,21,4,25.3,1,14,6,Debit Card,8,Chase,720,10000,2,24,New York,30,Los Angeles,16,Retailer,2,Occasional,NO,0
437225,733083,75930,56813,03:29:09,5,Friday,17,Office Supplies,120,23.4,15.2,2,13,33,3,10.5,0,22,5,Credit Card,14,HSBC,650,5000,1,30,Shanghai,#N/A,#N/A,5,Department Store,2,Occasional,YES,1
369883,97631,69951,4851,04:22:11,1,Monday,1, Clothing,387.91,98.56,3.7,1,9,0,#DIV/0!,0,0,#NUM!,6,Debit Card,10,Citibank,800,15000,3,21,Los Angeles,34,Miami,19,Supermarket,2,Occasional,NO,0
342781,461088,13009,36187,16:33:58,2,Tuesday,1, Clothing,294.56,67.12,8.9,4,9,61,1,13.5,0,5,5,Credit Card,8,Chase,710,8000,5,12,Chicago,47,Seattle,16,Retailer,2,Occasional,NO,0
884181,433236,69050,59687,07:44:24,3,Wednesday,4,Beauty & Personal Care,88.23,18.23,5.2,2,5,8,14,6.7,1,2,5,Credit Card,14,HSBC,620,3500,0.5,20,London,41,Paris,2,Bookstore,2,Occasional,NO,0
281947,54843,72191,57894,22:12:25,4,Thursday,9,Food and Beverage,200.55,76.56,14.7,1,6,0,#DIV/0!,0,0,#NUM!,6,Debit Card,8,Chase,750,12000,2,24,New York,30,Los Angeles,17,Salon,2,Occasional,YES,1
987998,289472,50981,97672,04:35:58,7,Sunday,3, Health & Beauty,85.23,15.23,6.5,5,15,45,1,9.2,4,38,5,Credit Card,10,Citibank,690,6000,1,27,San Francisco,30,Los Angeles,14,Restaurant,2,Occasional,NO,0
712720,17324,32470,61224,23:32:22,2,Tuesday,1, Clothing,250,50,3.2,2,18,10,10,10.5,2,10,5,Credit Card,8,Chase,720,10000,3,21,Los Angeles,37,New York,3,Clothing Store,2,Occasional,NO,0
741546,29401,63873,49890,01:03:06,3,Wednesday,8,Fashion,125,25,4.5,1,23,4,34,4.5,1,4,5,Credit Card,6,Bank of America,650,5000,2,18,Houston,18,Chicago,13,Pharmacy,2,Occasional,NO,0
192917,263025,10274,89911,18:13:02,7,Sunday,8,Fashion,400,100,8.1,4,2,15,4,12.6,1,7,5,Credit Card,12,Discover,800,25000,8,22,Miami,11,Atlanta,9,Hardware,2,Occasional,YES,1
836986,254856,39946,94948,02:51:50,6,Saturday,1, Clothing,1000,250,2.3,1,6,2,59,2.3,0,1,5,Credit Card,8,Chase,700,15000,5,27,San Francisco,47,Seattle,7,Electronics,2,Occasional,NO,0
545032,132846,43201,30087,02:19:12,6,Saturday,8,Fashion,250,50,6.2,3,15,12,8,6.7,0,8,5,Credit Card,6,Bank of America,720,12000,6,13,Dallas,26,Houston,13,Pharmacy,2,Occasional,NO,0
974303,920114,98422,49766,16:02:16,1,Monday,13,Home and Garden,125,25,3.1,1,12,1,2,3.1,0,1,5,Credit Card,8,Chase,600,10000,1,21,Los Angeles,45,San Francisco,3,Clothing Store,2,Occasional,NO,0
986249,292047,83768,58362,15:30:38,5,Friday,13,Home and Garden,200,50,10.2,2,15,8,5,11.3,2,4,5,Credit Card,12,Discover,750,20000,7,24,New York,34,Miami,9,Hardware,2,Occasional,NO,0
218521,893914,89268,13290,21:56:43,2,Tuesday,17,Office Supplies,500,100,4.6,1,7,3,49,4.6,1,2,5,Credit Card,6,Bank of America,690,7500,4,18,Houston,20,Dallas,7,Electronics,2,Occasional,YES,1
736899,204181,45079,64853,01:42:10,2,Tuesday,12,Home & Kitchen,300,75,7.3,3,13,15,8,8.2,1,8,5,Credit Card,8,Chase,780,18000,6,29,Seattle,45,San Francisco,3,Clothing Store,2,Occasional,NO,0
740847,956460,72429,83578,21:43:05,4,Thursday,11,Grocery,500,50,2.5,3,11,12,6,10,1,7,6,Debit Card,8,Chase,750,5000,3,24,New York,37,New York,16,Retailer,3,Regular,NO,0
839312,693269,88495,26302,10:23:51,2,Tuesday,17,Office Supplies,250,25,3.2,2,6,9,13,12,1,9,5,Credit Card,4,AMEX,800,10000,5,27,San Francisco,30,Los Angeles,14,Restaurant,3,Regular,NO,0
211971,799434,45174,35715,05:40:06,7,Sunday,16,Home Improvement,125,12.5,1.7,4,19,8,21,6,3,3,6,Debit Card,20,Wells Fargo,650,2500,2,12,Chicago,20,Dallas,16,Retailer,3,Regular,NO,0
859379,806474,7663,38560,18:45:33,6,Saturday,18,Pet Supplies,300,50,4.3,1,14,4,3,0,0,3,6,Debit Card,6,Bank of America,700,7500,4,22,Miami,40,Orlando,19,Supermarket,3,Regular,NO,0
526850,425596,95907,85308,02:59:24,5,Friday,18,Pet Supplies,750,75,5.1,5,5,20,3,15,0,10,5,Credit Card,12,Discover,700,5000,1,21,Los Angeles,43,Phoenix,5,Department Store,3,Regular,NO,0
